Player,Club,Height (m)
Fraser Forster,Southampton,2.01
Peter Crouch,Stoke,2.01
Per Mertesacker,Arsenal,1.98
Asmir Begovic,Stoke,1.98
Joe Hart,Manchester City,1.96
Petr Cech,Chelsea,1.96
Wojciech Szczesny,Arsenal,1.96
Jonas Olsson,West Brom,1.95
Brede Hangeland,Crystal Palace,1.95
Federico Fazio,Tottenham,1.95
Chris Smalling,Manchester United,1.94
Marouane Fellaini,Manchester United,1.94
Nemanja Matic,Chelsea,1.94
Brad Guzan,Aston Villa,1.93
Graziano Pelle,Southampton,1.93
Simon Mignolet,Liverpool,1.93
Sylvain Distin,Everton,1.93
Gary Cahill,Chelsea,1.93
Edin Dzeko,Manchester City,1.93
Florin Gardos,Southampton,1.93
Jason Shackell,Burnley,1.93
Georgios Samaras,West Brom,1.93
Ben Foster,West Brom,1.93
Alex McCarthy,QPR,1.93
Olivier Giroud,Arsenal,1.92
Marko Arnautovic,Stoke,1.92
David de Gea,Manchester United,1.92
Boaz Myhill,West Brom,1.91
Connor Wickham,Sunderland,1.91
Damien Delaney,Crystal Palace,1.91
Michael Williamson,Newcastle,1.91
Carlton Cole,West Ham,1.91
Geoff Cameron,Stoke,1.91
Santiago Vergini,Sunderland,1.91
Emmanuel Adebayor,Tottenham,1.91
Martin Skrtel,Liverpool,1.91
Chris Wood,Leicester,1.91
Martin Kelly,Crystal Palace,1.91
Steven Caulker,QPR,1.91
Ryan Shawcross,Stoke,1.91
John O'Shea,Sunderland,1.91
James Tomkins,West Ham,1.91
Yaya Sanogo,Arsenal,1.91
Romelu Lukaku,Everton,1.9
Joleon Lescott,West Brom,1.9
Winston Reid,West Ham,1.9
Vincent Kompany,Manchester City,1.9
Philippe Senderos,Aston Villa,1.9
Lukasz Fabianski,Swansea,1.9
Federico Fernandez,Swansea,1.9
Christian Benteke,Aston Villa,1.9
Adrian,West Ham,1.9
Leonardo Ulloa,Leicester,1.9
Steven N'Zonzi,Stoke,1.9
Sammy Ameobi,Newcastle,1.9
Didier Drogba,Chelsea,1.89
Yaya Toure,Manchester City,1.89
Mario Balotelli,Liverpool,1.89
Jan Vertonghen,Tottenham,1.89
Cheikhou Kouyate,West Ham,1.89
Rio Ferdinand,QPR,1.89
Mile Jedinak,Crystal Palace,1.89
Etienne Capoue,Tottenham,1.89
Ron Vlaar,Aston Villa,1.89
Ricardo Vaz Te,West Ham,1.89
Maya Yoshida,Southampton,1.89
Ross Barkley,Everton,1.89
Richard Dunne,QPR,1.88
Guy Demel,West Ham,1.88
Tom Heaton,Burnley,1.88
Diego Costa,Chelsea,1.88
Yannick Bolasie,Crystal Palace,1.88
Dejan Lovren,Liverpool,1.88
Charlie Austin,QPR,1.88
Angel Rangel,Swansea,1.88
John Obi Mikel,Chelsea,1.88
James Collins,West Ham,1.88
Steven Taylor,Newcastle,1.88
Vito Mannone,Sunderland,1.88
Jack Rodwell,Sunderland,1.88
Marc Wilson,Stoke,1.88
Leroy Fer,QPR,1.88
David Meyler,Hull,1.88
Craig Dawson,West Brom,1.88
Eldin Jakupovic,Hull,1.88
Rickie Lambert,Liverpool,1.88
Jonny Evans,Manchester United,1.88
Filipe Luis,Chelsea,1.88
Curtis Davies,Hull,1.88
Andreas Weimann,Aston Villa,1.88
Victor Wanyama,Southampton,1.88
Scott Dann,Crystal Palace,1.88
Michael Dawson,Hull,1.88
Daniel Sturridge,Liverpool,1.88
Ciaran Clark,Aston Villa,1.88
Nathan Baker,Aston Villa,1.88
Tim Krul,Newcastle,1.88
Hugo Lloris,Tottenham,1.88
Ricardo Alvarez,Sunderland,1.88
John Stones,Everton,1.88
Eric Dier,Tottenham,1.88
Robert Green,QPR,1.87
John Terry,Chelsea,1.87
Tim Howard,Everton,1.87
Nikica Jelavic,Hull,1.87
Moussa Sissoko,Newcastle,1.87
Aleksandar Kolarov,Manchester City,1.87
Mamadou Sakho,Liverpool,1.87
Jose Fonte,Southampton,1.87
Nacer Chadli,Tottenham,1.87
Marcos Rojo,Manchester United,1.87
Ki Sung-Yueng,Swansea,1.87
Leandro Bacuna,Aston Villa,1.87
Sandro,QPR,1.87
Eliaquim Mangala,Manchester City,1.87
Nabil Bentaleb,Tottenham,1.87
Julian Speroni,Crystal Palace,1.86
Toby Alderweireld,Southampton,1.86
Willy Caballero,Manchester City,1.86
Gylfi Sigurdsson,Swansea,1.86
George Boyd,Burnley,1.86
Gabriel Obertan,Newcastle,1.86
Andre Wisdom,West Brom,1.86
Ritchie de Laet,Leicester,1.86
Ashley Barnes,Burnley,1.86
Steven Fletcher,Sunderland,1.86
Laurent Koscielny,Arsenal,1.86
